code.int32(),name.string(),market.string(),code_of_industry_33.int32(),industry_33.string(),code_of_industry_17.int32(),industry_17.string(),code_of_group.int32(),group.string()
9636,きんえい,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9637,オーエス,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9639,三協フロンテア,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9640,セゾン情報システムズ,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9641,サコス,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9644,タナベ経営,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9647,協和コンサルタンツ,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9651,日本プロセス,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9656,グリーンランドリゾート,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9658,ビジネスブレイン太田昭和,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
9661,歌舞伎座,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
9663,ナガワ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9672,東京都競馬,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9675,常磐興産,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
9678,カナモト,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
9679,ホウライ,JASDAQ(スタンダード・内国株）,9050,サービス業,10,情報通信・サービスその他,,
9682,ＤＴＳ,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9684,スクウェア・エニックス・ホールディングス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
9685,ＫＹＣＯＭホールディングス,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他,,
9686,東洋テック,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他,,
